studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9192,1991-11-03,TOR,1.0,143
PAL9192,1991-11-03,TOR,2.0,65
PAL9192,1991-11-03,TOR,3.0,25
PAL9192,1991-11-03,TOR,4.0,306
PAL9192,1991-11-03,TOR,5.0,134
PAL9192,1991-11-03,TOR,6.0,144
PAL9192,1991-11-03,TOR,12.0,220
PAL9192,1991-11-03,TOR,13.0,282
PAL9192,1991-11-03,TOR,15.0,165
PAL9192,1991-11-03,TOR,17.0,25
PAL9192,1991-11-03,TOR,18.0,290
PAL9192,1991-11-03,TOR,19.0,460
PAL9192,1991-11-03,TOR,20.0,243
PAL9192,1991-11-03,TOR,21.0,153
PAL9192,1991-11-03,TOR,22.0,121
PAL9192,1991-11-03,TOR,23.0,211
PAL9192,1991-11-03,TOR,23.1,29
PAL9192,1991-12-03,CHR,1.0,207
PAL9192,1991-12-03,CHR,2.0,182
PAL9192,1991-12-03,CHR,3.0,152
PAL9192,1991-12-03,CHR,3.1,0
PAL9192,1991-12-03,CHR,4.1,20
PAL9192,1991-12-03,CHR,4.2,0
PAL9192,1991-12-03,CHR,5.0,26
PAL9192,1991-12-03,CHR,6.0,119
PAL9192,1991-12-03,CHR,7.0,317
PAL9192,1991-12-03,CHR,7.1,26
PAL9192,1991-12-03,CHR,7.2,65
PAL9192,1991-12-03,CHR,8.0,166
PAL9192,1991-12-03,CHR,9.1,115
PAL9192,1991-12-03,CHR,10.0,15
PAL9192,1991-12-03,COR,1.0,7
PAL9192,1991-12-03,COR,2.0,79
PAL9192,1991-12-03,COR,3.0,36
PAL9192,1991-12-03,COR,4.0,18
PAL9192,1991-12-03,COR,5.0,309
PAL9192,1991-12-03,COR,5.1,137
PAL9192,1991-12-03,COR,6.0,95
PAL9192,1991-12-03,HUM,1.1,22
PAL9192,1991-12-03,HUM,1.2,31
PAL9192,1991-12-03,HUM,1.3,14
PAL9192,1991-12-03,HUM,2.1,130
PAL9192,1991-12-03,HUM,2.2,64
PAL9192,1991-12-03,HUM,3.0,289
PAL9192,1991-12-03,HUM,3.1,66
PAL9192,1991-12-03,HUM,4.0,104
PAL9192,1991-12-03,HUM,5.0,365
PAL9192,1991-12-07,LIT,1.0,15
PAL9192,1991-12-07,LIT,2.0,34
PAL9192,1991-12-07,LIT,3.0,7
PAL9192,1991-12-07,LIT,4.0,29
PAL9192,1991-12-07,LIT,5.0,83
PAL9192,1991-12-07,LIT,6.0,130
PAL9192,1991-12-07,LIT,7.0,64
PAL9192,1991-12-07,LIT,8.0,109
PAL9192,1991-12-07,LIT,9.0,26
PAL9293,1992-11-24,CHR,1.0,207
PAL9293,1992-11-24,CHR,2.0,63
PAL9293,1992-11-24,CHR,3.0,157
PAL9293,1992-11-24,CHR,3.1,0
PAL9293,1992-11-24,CHR,4.1,21
PAL9293,1992-11-24,CHR,4.2,0
PAL9293,1992-11-24,CHR,5.0,33
PAL9293,1992-11-24,CHR,6.0,109
PAL9293,1992-11-24,CHR,7.0,333
PAL9293,1992-11-24,CHR,7.1,25
PAL9293,1992-11-24,CHR,7.2,66
PAL9293,1992-11-24,CHR,8.0,162
PAL9293,1992-11-24,CHR,9.1,78
PAL9293,1992-11-24,CHR,10.0,14
PAL9293,1992-11-24,COR,1.0,5
PAL9293,1992-11-24,COR,2.0,86
PAL9293,1992-11-24,COR,3.0,35
PAL9293,1992-11-24,COR,4.0,17
PAL9293,1992-11-24,COR,5.0,297
PAL9293,1992-11-24,COR,5.1,133
PAL9293,1992-11-24,COR,6.0,100
PAL9293,1992-11-25,HUM,1.1,27
PAL9293,1992-11-25,HUM,1.2,35
PAL9293,1992-11-25,HUM,1.3,13
PAL9293,1992-11-25,HUM,2.1,121
PAL9293,1992-11-25,HUM,2.2,68
PAL9293,1992-11-25,HUM,3.0,295
PAL9293,1992-11-25,HUM,3.1,58
PAL9293,1992-11-25,HUM,4.0,100
PAL9293,1992-11-25,HUM,5.0,337
PAL9293,1992-11-25,LIT,1.0,18
PAL9293,1992-11-25,LIT,2.0,32
PAL9293,1992-11-25,LIT,3.0,6
PAL9293,1992-11-25,LIT,4.0,28
PAL9293,1992-11-25,LIT,5.0,83
PAL9293,1992-11-25,LIT,6.0,120
PAL9293,1992-11-25,LIT,7.0,71
PAL9293,1992-11-25,LIT,8.0,114
PAL9293,1992-11-25,LIT,9.0,24
PAL9293,1992-11-25,TOR,1.0,139
PAL9293,1992-11-25,TOR,2.0,60
PAL9293,1992-11-25,TOR,3.0,23
PAL9293,1992-11-25,TOR,4.0,295
PAL9293,1992-11-25,TOR,5.0,117
PAL9293,1992-11-25,TOR,6.0,113
PAL9293,1992-11-25,TOR,12.0,214
PAL9293,1992-11-25,TOR,13.0,269
PAL9293,1992-11-25,TOR,15.0,162
PAL9293,1992-11-25,TOR,17.0,24
PAL9293,1992-11-25,TOR,18.0,290
PAL9293,1992-11-25,TOR,19.0,432
PAL9293,1992-11-25,TOR,20.0,211
PAL9293,1992-11-25,TOR,21.0,132
PAL9293,1992-11-25,TOR,22.0,120
PAL9293,1992-11-25,TOR,23.0,196
PAL9293,1992-11-25,TOR,23.1,26
PAL9394,1993-11-27,HUM,1.1,26
PAL9394,1993-11-27,HUM,1.2,41
PAL9394,1993-11-27,HUM,1.3,16
PAL9394,1993-11-27,HUM,2.1,132
PAL9394,1993-11-27,HUM,2.2,73
PAL9394,1993-11-27,HUM,3.0,245
PAL9394,1993-11-27,HUM,3.1,6
PAL9394,1993-11-27,HUM,4.0,164
PAL9394,1993-11-27,HUM,5.0,345
PAL9394,1993-11-27,TOR,1.0,150
PAL9394,1993-11-27,TOR,2.0,57
PAL9394,1993-11-27,TOR,3.0,26
PAL9394,1993-11-27,TOR,4.0,281
PAL9394,1993-11-27,TOR,5.0,125
PAL9394,1993-11-27,TOR,6.0,102
PAL9394,1993-11-27,TOR,12.0,212
